Periodo,Entidad federativa,"Tasa de mortalidad por tuberculosis (todas las formas), defunciones por cada 100 mil habitantes",Defunciones por cualquier tipo de tuberculosis,Población total
1999,Aguascalientes,2.21805944,22,991858
1999,Baja California,7.330250038,181,2469220
1999,Baja California Sur,2.867604888,13,453340
1999,Campeche,2.182065747,15,687422
1999,Coahuila de Zaragoza,4.79946314,113,2354430
1999,Colima,5.880731416,32,544150
1999,Chiapas,7.983523575,326,4083410
1999,Chihuahua,4.78305759,140,2926998
1999,Distrito Federal,1.780878872,159,8928176
1999,Durango,4.837718075,72,1488305
1999,Guanajuato,1.603424916,82,5114053
1999,Guerrero,4.229030616,136,3215867
1999,Hidalgo,3.70529124,88,2374982
1999,Jalisco,2.557280368,165,6452167
1999,México,1.790364275,227,12678984
1999,Michoacán de Ocampo,2.092014492,87,4158671
1999,Morelos,2.345142924,37,1577729
1999,Nayarit,5.268324361,49,930087
1999,Nuevo León,4.823448874,187,3876894
1999,Oaxaca,6.511749056,238,3654932
1999,Puebla,3.1030121,161,5188507
1999,Querétaro,3.274364217,50,1527014
1999,Quintana Roo,2.220302894,20,900778
1999,San Luis Potosí,4.541179033,108,2378237
1999,Sinaloa,5.063557616,127,2508118
1999,Sonora,5.294001718,119,2247827
1999,Tabasco,3.802341934,74,1946169
1999,Tamaulipas,4.286455387,117,2729528
1999,Tlaxcala,1.106947201,11,993724
1999,Veracruz de Ignacio de la Llave,5.978552394,431,7209103
1999,Yucatán,2.948806942,50,1695601
1999,Zacatecas,2.042561344,29,1419786
2000,Nacional,3.197357718,3226,100895811
2000,Aguascalientes,1.983247508,20,1008447
2000,Baja California,7.490660206,191,2549842
2000,Baja California Sur,1.500680666,7,466455
2000,Campeche,1.427127991,10,700708
2000,Coahuila de Zaragoza,3.885107755,93,2393756
2000,Colima,1.998942378,11,550291
2000,Chiapas,6.987041319,291,4164853
2000,Chihuahua,4.116566436,123,2987927
2000,Distrito Federal,1.621029108,145,8944935
2000,Durango,3.538965006,53,1497613
2000,Guanajuato,1.419193641,73,5143766
2000,Guerrero,3.905297164,126,3226387
2000,Hidalgo,2.259145775,54,2390284
2000,Jalisco,2.180094539,142,6513479
2000,México,1.507770586,195,12933002
2000,Michoacán de Ocampo,2.162285796,90,4162262
2000,Morelos,1.947155457,31,1592066
2000,Nayarit,6.619257127,62,936661
2000,Nuevo León,3.670829387,145,3950061
2000,Oaxaca,5.447482051,200,3671421
2000,Puebla,3.33331746,175,5250025
2000,Querétaro,2.701802102,42,1554518
2000,Quintana Roo,2.875975169,27,938812
2000,San Luis Potosí,3.556024114,85,2390310
2000,Sinaloa,3.664361796,93,2537959
2000,Sonora,4.235824508,97,2289991
2000,Tabasco,3.694500256,73,1975910
2000,Tamaulipas,4.1925566,117,2790660
2000,Tlaxcala,1.284920177,13,1011736
2000,Veracruz de Ignacio de la Llave,5.253948204,380,7232656
2000,Yucatán,2.207629918,38,1721303
2000,Zacatecas,1.692864927,24,1417715
2001,Nacional,3.143290111,3210,102122295
2001,Aguascalientes,1.462611268,15,1025563
2001,Baja California,7.155449865,188,2627368
2001,Baja California Sur,2.91551261,14,480190
2001,Campeche,1.540598985,11,714008
2001,Coahuila de Zaragoza,3.534379236,86,2433242
2001,Colima,3.225991455,18,557968
2001,Chiapas,7.429543166,315,4239830
2001,Chihuahua,3.772114431,115,3048688
2001,Distrito Federal,1.383754212,124,8961129
2001,Durango,3.108856272,47,1511810
2001,Guanajuato,1.218441872,63,5170538
2001,Guerrero,4.659728711,151,3240532
2001,Hidalgo,2.40817984,58,2408458
2001,Jalisco,2.245009064,148,6592401
2001,México,1.629362476,215,13195345
2001,Michoacán de Ocampo,1.316774534,55,4176873
2001,Morelos,2.669033624,43,1611070
2001,Nayarit,4.752214268,45,946927
2001,Nuevo León,3.476616279,140,4026904
2001,Oaxaca,5.954590133,219,3677835
2001,Puebla,2.942594508,156,5301444
2001,Querétaro,2.533126968,40,1579076
2001,Quintana Roo,2.56024775,25,976468
2001,San Luis Potosí,3.614151522,87,2407204
2001,Sinaloa,3.77258984,97,2571178
2001,Sonora,3.56146444,83,2330502
2001,Tabasco,2.993292033,60,2004482
2001,Tamaulipas,3.436185133,98,2852000
2001,Tlaxcala,1.362537044,14,1027495
2001,Veracruz de Ignacio de la Llave,5.456215387,396,7257778
2001,Yucatán,3.379003331,59,1746077
2001,Zacatecas,1.758196007,25,1421912
2002,Nacional,2.924057357,3024,103417944
2002,Aguascalientes,1.437080313,15,1043783
2002,Baja California,6.696679631,181,2702832
2002,Baja California Sur,2.825303417,14,495522
2002,Campeche,2.886415429,21,727546
2002,Coahuila de Zaragoza,4.448180916,110,2472921
2002,Colima,3.531142024,20,566389
2002,Chiapas,5.325370901,230,4318948
2002,Chihuahua,3.281967327,102,3107892
2002,Distrito Federal,1.15896239,104,8973544
2002,Durango,3.145896866,48,1525797
2002,Guanajuato,1.113536787,58,5208629
2002,Guerrero,3.652385023,119,3258145
2002,Hidalgo,2.2620303,55,2431444
2002,Jalisco,2.098429535,140,6671656
2002,México,1.329891465,179,13459745
2002,Michoacán de Ocampo,1.597531313,67,4193971
2002,Morelos,2.577321169,42,1629599
2002,Nayarit,4.695746906,45,958314
2002,Nuevo León,3.972236262,163,4103482
2002,Oaxaca,4.788462241,177,3696385
2002,Puebla,2.926653405,157,5364489
2002,Querétaro,2.612608073,42,1607589
2002,Quintana Roo,0.886438379,9,1015299
2002,San Luis Potosí,3.792519503,92,2425828
2002,Sinaloa,3.727176806,97,2602506
2002,Sonora,3.876424639,92,2373321
2002,Tabasco,3.982898124,81,2033695
2002,Tamaulipas,3.503845814,102,2911087
2002,Tlaxcala,0.956521323,10,1045455
2002,Veracruz de Ignacio de la Llave,5.100078064,372,7294006
2002,Yucatán,3.386514785,60,1771733
2002,Zacatecas,1.402139103,20,1426392
2003,Nacional,2.911576751,3049,104719891
2003,Aguascalientes,2.635914333,28,1062250
2003,Baja California,8.393595507,233,2775926
2003,Baja California Sur,3.321408824,17,511831
2003,Campeche,2.563711607,19,741113
2003,Coahuila de Zaragoza,4.219306832,106,2512261
2003,Colima,2.259254689,13,575411
2003,Chiapas,5.185038798,228,4397267
2003,Chihuahua,4.517519446,143,3165454
2003,Distrito Federal,1.168976825,105,8982214
2003,Durango,2.46712395,38,1540255
2003,Guanajuato,1.067117702,56,5247781
2003,Guerrero,4.42532433,145,3276596
2003,Hidalgo,1.750543483,43,2456380
2003,Jalisco,2.132422552,144,6752883
2003,México,1.158595555,159,13723512
2003,Michoacán de Ocampo,1.590664178,67,4212077
2003,Morelos,1.637924131,27,1648428
2003,Nayarit,6.076297702,59,970986
2003,Nuevo León,4.329865932,181,4180268
2003,Oaxaca,4.870902253,181,3715944
2003,Puebla,1.713288375,93,5428158
2003,Querétaro,2.688566261,44,1636560
2003,Quintana Roo,1.991197013,21,1054642
2003,San Luis Potosí,3.640068401,89,2445009
2003,Sinaloa,3.987629992,105,2633143
2003,Sonora,4.179551894,101,2416527
2003,Tabasco,3.345130169,69,2062700
2003,Tamaulipas,3.368612815,100,2968581
2003,Tlaxcala,0.752167417,8,1063593
2003,Veracruz de Ignacio de la Llave,4.963693446,364,7333249
2003,Yucatán,2.225532083,40,1797323
2003,Zacatecas,1.606628811,23,1431569
2004,Nacional,2.245365522,2379,105951569
2004,Aguascalientes,1.01869396,11,1079814
2004,Baja California,7.132978394,203,2845936
2004,Baja California Sur,1.700924547,9,529124
2004,Campeche,0.795100063,6,754622
2004,Coahuila de Zaragoza,3.097786533,79,2550208
2004,Colima,3.423772278,20,584151
2004,Chiapas,5.450582207,244,4476586
2004,Chihuahua,2.516414948,81,3218865
2004,Distrito Federal,0.500954039,45,8982860
2004,Durango,1.868914348,29,1551703
2004,Guanajuato,0.681487764,36,5282560
2004,Guerrero,3.52428047,116,3291452
2004,Hidalgo,1.249786327,31,2480424
2004,Jalisco,1.480253636,101,6823155
2004,México,0.622403077,87,13978080
2004,Michoacán de Ocampo,1.397809467,59,4220890
2004,Morelos,1.863129685,31,1663867
2004,Nayarit,4.170943579,41,982991
2004,Nuevo León,3.713535083,158,4254706
2004,Oaxaca,3.583966724,134,3738874
2004,Puebla,1.547288223,85,5493482
2004,Querétaro,2.220407223,37,1666361
2004,Quintana Roo,1.187445594,13,1094787
2004,San Luis Potosí,2.560522834,63,2460435
2004,Sinaloa,3.30811522,88,2660125
2004,Sonora,3.45486042,85,2460302
2004,Tabasco,1.768588341,37,2092064
2004,Tamaulipas,2.779194947,84,3022458
2004,Tlaxcala,0.6466674,7,1082473
2004,Veracruz de Ignacio de la Llave,4.042106817,298,7372393
2004,Yucatán,2.797300988,51,1823186
2004,Zacatecas,0.698014498,10,1432635
2005,Nacional,2.321956626,2488,107151011
2005,Aguascalientes,1.094155749,12,1096736
2005,Baja California,8.13685294,237,2912674
2005,Baja California Sur,3.109134271,17,546776
2005,Campeche,2.083070237,16,768097
2005,Coahuila de Zaragoza,3.091765932,80,2587518
2005,Colima,1.347193711,8,593827
2005,Chiapas,5.231879999,238,4549034
2005,Chihuahua,2.721455373,89,3270309
2005,Distrito Federal,0.6235792,56,8980415
2005,Durango,3.383926223,53,1566228
2005,Guanajuato,0.527543419,28,5307620
2005,Guerrero,2.722037342,90,3306347
2005,Hidalgo,0.678780909,17,2504490
2005,Jalisco,1.984498316,137,6903508
2005,México,0.948465713,135,14233514
2005,Michoacán de Ocampo,1.299033495,55,4233917
2005,Morelos,1.843082347,31,1681965
2005,Nayarit,3.708972003,37,997581
2005,Nuevo León,4.018024767,174,4330486
2005,Oaxaca,3.653762041,137,3749560
2005,Puebla,1.099958454,61,5545664
2005,Querétaro,1.654519734,28,1692334
2005,Quintana Roo,1.322420135,15,1134284
2005,San Luis Potosí,3.753518924,93,2477675
2005,Sinaloa,3.495517928,94,2689158
2005,Sonora,3.917409809,98,2501653
2005,Tabasco,3.537183581,75,2120331
2005,Tamaulipas,1.983544386,61,3075303
2005,Tlaxcala,0.637139788,7,1098660
2005,Veracruz de Ignacio de la Llave,3.805703968,282,7409930
2005,Yucatán,1.082200135,20,1848087
2005,Zacatecas,0.487014116,7,1437330
2006,Nacional,2.116063852,2294,108408827
2006,Aguascalientes,1.705413971,19,1114099
2006,Baja California,8.833091515,263,2977440
2006,Baja California Sur,2.123803591,12,565024
2006,Campeche,1.023515263,8,781620
2006,Coahuila de Zaragoza,2.932962383,77,2625332
2006,Colima,1.817998516,11,605061
2006,Chiapas,5.004117024,231,4616199
2006,Chihuahua,3.371017496,112,3322439
2006,Distrito Federal,0.690580504,62,8977954
2006,Durango,2.64904338,42,1585478
2006,Guanajuato,0.374987719,20,5333508
2006,Guerrero,2.135030773,71,3325479
2006,Hidalgo,1.342843297,34,2531941
2006,Jalisco,1.99973832,140,7000916
2006,México,0.77257241,112,14497023
2006,Michoacán de Ocampo,1.338428755,57,4258725
2006,Morelos,1.466667918,25,1704544
2006,Nayarit,4.232650072,43,1015912
2006,Nuevo León,3.107396147,137,4408836
2006,Oaxaca,2.291045953,86,3753744
2006,Puebla,0.983766071,55,5590760
2006,Querétaro,2.271612647,39,1716842
2006,Quintana Roo,1.191850467,14,1174644
2006,San Luis Potosí,3.280139078,82,2499894
2006,Sinaloa,2.939382583,80,2721660
2006,Sonora,2.989680096,76,2542078
2006,Tabasco,1.909560424,41,2147091
2006,Tamaulipas,2.652277476,83,3129386
2006,Tlaxcala,0.628849457,7,1113144
2006,Veracruz de Ignacio de la Llave,2.858494076,213,7451476
2006,Yucatán,1.441866352,27,1872573
2006,Zacatecas,1.035908025,15,1448005
2007,Nacional,1.949222073,2140,109787388
2007,Aguascalientes,0.706070085,8,1133032
2007,Baja California,6.081959167,185,3041783
2007,Baja California Sur,2.907777278,17,584639
2007,Campeche,2.011440065,16,795450
2007,Coahuila de Zaragoza,2.327310729,62,2664019
2007,Colima,0.972217271,6,617146
2007,Chiapas,4.031557926,189,4688014
2007,Chihuahua,3.168920648,107,3376544
2007,Distrito Federal,0.713215096,64,8973450
2007,Durango,2.616145981,42,1605415
2007,Guanajuato,0.613720103,33,5377044
2007,Guerrero,2.985217204,100,3349840
2007,Hidalgo,0.857622569,22,2565231
2007,Jalisco,1.746073587,124,7101648
2007,México,0.643400405,95,14765300
2007,Michoacán de Ocampo,0.885727412,38,4290259
2007,Morelos,0.810409361,14,1727522
2007,Nayarit,3.571780233,37,1035898
2007,Nuevo León,2.874840157,129,4487206
2007,Oaxaca,3.392011601,128,3773572
2007,Puebla,0.990967683,56,5651042
2007,Querétaro,0.973098965,17,1746996
2007,Quintana Roo,1.477597164,18,1218194
2007,San Luis Potosí,2.653365517,67,2525095
2007,Sinaloa,2.650926699,73,2753754
2007,Sonora,2.745489277,71,2586060
2007,Tabasco,2.299417236,50,2174464
2007,Tamaulipas,2.794746881,89,3184546
2007,Tlaxcala,1.238494168,14,1130405
2007,Veracruz de Ignacio de la Llave,3.037861346,228,7505280
2007,Yucatán,1.369406304,26,1898633
2007,Zacatecas,1.027462708,15,1459907
2008,Nacional,2.073693105,2308,111299015
2008,Aguascalientes,0.77988858,9,1154011
2008,Baja California,6.826138573,212,3105709
2008,Baja California Sur,2.477933998,15,605343
2008,Campeche,1.11161065,9,809636
2008,Coahuila de Zaragoza,2.588848351,70,2703905
2008,Colima,2.378664332,15,630606
2008,Chiapas,4.115848537,196,4762080
2008,Chihuahua,3.23472097,111,3431517
2008,Distrito Federal,0.445959667,40,8969421
2008,Durango,2.640756951,43,1628321
2008,Guanajuato,0.790787146,43,5437620
2008,Guerrero,3.194384509,108,3380933
2008,Hidalgo,0.921243295,24,2605175
2008,Jalisco,1.996234049,144,7213583
2008,México,0.711417959,107,15040385
2008,Michoacán de Ocampo,0.784552439,34,4333681
2008,Morelos,1.711198712,30,1753157
2008,Nayarit,5.478535946,58,1058677
2008,Nuevo León,3.043659433,139,4566871
2008,Oaxaca,3.943136813,150,3804078
2008,Puebla,1.32809319,76,5722490
2008,Querétaro,1.853325568,33,1780583
2008,Quintana Roo,1.267858982,16,1261970
2008,San Luis Potosí,2.073767429,53,2555735
2008,Sinaloa,3.157406019,88,2787098
2008,Sonora,2.963309667,78,2632192
2008,Tabasco,2.497499095,55,2202203
2008,Tamaulipas,3.55028782,115,3239174
2008,Tlaxcala,0.434989512,5,1149453
2008,Veracruz de Ignacio de la Llave,2.720760313,206,7571413
2008,Yucatán,0.830797238,16,1925861
