Periodo,Entidad de Residencia,Defunciones Neonatales Estimadas,Nacimientos,Tasa de Mortalidad Neonatal
2011,Coahuila de Zaragoza,378,55705,6.785746342
2011,Colima,102,12713,8.023283253
2011,Chiapas,931,115745,8.043543998
2011,Chihuahua,619,67931,9.112187367
2011,Distrito Federal,1236,137315,9.001201617
2011,Durango,367,36189,10.14120313
2011,Guanajuato,937,120082,7.803001282
2011,Guerrero,792,76587,10.34118062
2011,Hidalgo,521,55443,9.3970384
2011,Jalisco,1309,153813,8.510333977
2011,México,2776,296086,9.375654371
2011,Michoacán de Ocampo,741,91560,8.093053735
2011,Morelos,278,32497,8.554635813
2011,Nayarit,158,21776,7.255694342
2011,Nuevo León,488,85225,5.726019361
2011,Oaxaca,683,81590,8.371123912
2011,Puebla,1321,122668,10.76890469
2011,Querétaro de Arteaga,289,39838,7.25438024
2011,Quintana Roo,208,25986,8.004310013
2011,San Luis Potosí,483,53701,8.994245917
2011,Sinaloa,396,53501,7.401730809
2011,Sonora,386,54458,7.088031143
2011,Tabasco,467,50748,9.202333097
2011,Tamaulipas,516,63568,8.117291719
2011,Tlaxcala,216,25645,8.422694482
2011,Veracruz Llave,1358,143809,9.443080753
2011,Yucatán,244,39341,6.202180931
2011,Zacatecas,217,30669,7.0755486
2011,Nacional,19363,2256287,8.581798326
2012,Aguascalientes,179,27280,6.561583578
2012,Baja California,497,58135,8.549066827
2012,Baja California Sur,85,12885,6.596818005
2012,Campeche,189,16337,11.56883149
2012,Coahuila de Zaragoza,506,58151,8.701484067
2012,Colima,81,12728,6.363922062
2012,Chiapas,813,112247,7.242955268
2012,Chihuahua,573,68577,8.35557111
2012,Distrito Federal,1151,139491,8.251428408
2012,Durango,311,36180,8.595909342
2012,Guanajuato,939,120609,7.785488645
2012,Guerrero,730,73814,9.889722817
2012,Hidalgo,482,55511,8.682963737
2012,Jalisco,1169,153922,7.594755785
2012,México,2715,304535,8.915231418
2012,Michoacán de Ocampo,790,95934,8.234828111
2012,Morelos,260,33316,7.80405811
2012,Nayarit,134,21999,6.091185963
2012,Nuevo León,537,82833,6.482923473
2012,Oaxaca,587,81216,7.227639874
2012,Puebla,1306,126359,10.33563102
2012,Querétaro de Arteaga,317,40401,7.846340437
2012,Quintana Roo,229,27778,8.243934049
2012,San Luis Potosí,429,53999,7.944591567
2012,Sinaloa,343,53024,6.468768859
2012,Sonora,401,51282,7.81950782
2012,Tabasco,464,49766,9.32363461
2012,Tamaulipas,552,61622,8.957839733
2012,Tlaxcala,244,26918,9.064566461
2012,Veracruz Llave,1364,141123,9.665327409
2012,Yucatán,293,39953,7.333617
2012,Zacatecas,204,31203,6.537832901
2012,Nacional,18874,2269128,8.317732627
2013,Aguascalientes,158,27200,5.808823529
2013,Baja California,467,56694,8.237203231
2013,Baja California Sur,90,12457,7.224853496
2013,Campeche,166,16820,9.869203329
2013,Coahuila de Zaragoza,489,59245,8.253861085
2013,Colima,86,13346,6.443878316
2013,Chiapas,835,113201,7.376259927
2013,Chihuahua,610,68587,8.893813696
2013,Distrito Federal,999,135962,7.347641253
2013,Durango,297,36371,8.165846416
2013,Guanajuato,848,117425,7.221630828
2013,Guerrero,675,74060,9.114231704
2013,Hidalgo,416,55981,7.431092692
2013,Jalisco,1072,151701,7.066532192
2013,México,2492,296612,8.40154815
2013,Michoacán de Ocampo,683,95253,7.170377836
2013,Morelos,246,33695,7.300786467
2013,Nayarit,144,22169,6.495556859
2013,Nuevo León,537,87982,6.103521175
2013,Oaxaca,499,81426,6.1282637
2013,Puebla,1105,125618,8.796510054
2013,Querétaro de Arteaga,287,39970,7.180385289
2013,Quintana Roo,207,28152,7.352941176
2013,San Luis Potosí,375,53494,7.010131977
2013,Sinaloa,342,52447,6.520868686
2013,Sonora,340,52274,6.504189463
2013,Tabasco,445,51051,8.716773423
2013,Tamaulipas,554,59920,9.245660881
2013,Tlaxcala,206,25903,7.952746786
2013,Veracruz Llave,1298,137944,9.409615496
2013,Yucatán,271,39338,6.889013168
2013,Zacatecas,189,31710,5.960264901
2013,Nacional,17428,2254008,7.7320045
