Periodo,Entidad de Ocurrencia,Defunciones por Accidente de Trafico de Vehiculo de Motor,Poblacion Total,Tasa de Mortalidad por Accidente de Trafico de Vehiculo de Motor
2010,Veracruz Llave,650,7712247,8.4281533
2010,Yucatán,287,1980690,14.48989998
2010,Zacatecas,403,1509019,26.70609184
2010,Nacional,16559,114255557,14.49294935
2011,Aguascalientes,219,1215094,18.02329696
2011,Baja California,314,3275399,9.586618302
2011,Baja California Sur,144,672682,21.40684603
2011,Campeche,98,852373,11.49731397
2011,Coahuila de Zaragoza,350,2818077,12.41981678
2011,Colima,135,672263,20.08142647
2011,Chiapas,427,4980633,8.573207462
2011,Chihuahua,692,3559248,19.44230916
2011,Distrito Federal,967,8928400,10.83060795
2011,Durango,355,1690418,21.0007229
2011,Guanajuato,988,5614698,17.59667216
2011,Guerrero,397,3473454,11.42954535
2011,Hidalgo,451,2730570,16.51669798
2011,Jalisco,1411,7543233,18.70550731
2011,México,1746,15845558,11.01886093
2011,Michoacán de Ocampo,767,4458100,17.20463875
2011,Morelos,222,1827187,12.14982375
2011,Nayarit,287,1132215,25.34854246
2011,Nuevo León,524,4797263,10.92289499
2011,Oaxaca,507,3901419,12.99527172
2011,Puebla,771,5935014,12.9907023
2011,Querétaro de Arteaga,398,1881105,21.15777694
2011,Quintana Roo,133,1395357,9.531610907
2011,San Luis Potosí,392,2647570,14.80602968
2011,Sinaloa,776,2878525,26.95825119
2011,Sonora,612,2767364,22.11490791
2011,Tabasco,484,2283140,21.19887523
2011,Tamaulipas,432,3376515,12.7942568
2011,Tlaxcala,203,1206291,16.82844355
2011,Veracruz Llave,749,7791801,9.612668496
2011,Yucatán,295,2009160,14.68275299
2011,Zacatecas,368,1522741,24.16694632
2011,Nacional,16614,115682867,14.36167726
2012,Aguascalientes,213,1233921,17.26204514
2012,Baja California,202,3328623,6.068575504
2012,Baja California Sur,137,695409,19.7006366
2012,Campeche,99,866375,11.42692252
2012,Coahuila de Zaragoza,348,2854334,12.19198594
2012,Colima,141,685394,20.57210889
2012,Chiapas,521,5050568,10.31567143
2012,Chihuahua,625,3598792,17.36693868
2012,Distrito Federal,937,8911665,10.51430905
2012,Durango,381,1709741,22.28407694
2012,Guanajuato,1048,5668181,18.48917669
2012,Guerrero,474,3499507,13.54476502
2012,Hidalgo,428,2768973,15.45699434
2012,Jalisco,1487,7644152,19.45277907
2012,México,1799,16106485,11.16941406
2012,Michoacán de Ocampo,777,4494730,17.28691156
2012,Morelos,239,1850812,12.91325105
2012,Nayarit,304,1155448,26.31014117
2012,Nuevo León,631,4868844,12.95995518
2012,Oaxaca,504,3930833,12.8217098
2012,Puebla,814,6002161,13.56178216
2012,Querétaro de Arteaga,369,1912803,19.29106134
2012,Quintana Roo,171,1440115,11.87405173
2012,San Luis Potosí,444,2675311,16.59620134
2012,Sinaloa,645,2905750,22.19736729
2012,Sonora,622,2809806,22.13675962
2012,Tabasco,583,2309071,25.24824919
2012,Tamaulipas,555,3419338,16.23121201
2012,Tlaxcala,196,1224637,16.00474263
2012,Veracruz Llave,683,7858604,8.691111042
2012,Yucatán,294,2036694,14.43515815
2012,Zacatecas,430,1536674,27.98251288
2012,Nacional,17101,117053751,14.60952755
2013,Aguascalientes,192,1252265,15.33221802
2013,Baja California,226,3381080,6.684254735
2013,Baja California Sur,123,718196,17.12624409
2013,Campeche,98,880299,11.13258109
2013,Coahuila de Zaragoza,450,2890108,15.57035239
2013,Colima,103,698295,14.75021302
2013,Chiapas,492,5119186,9.610902983
2013,Chihuahua,641,3635966,17.62942778
2013,Distrito Federal,871,8893742,9.793403047
2013,Durango,383,1728429,22.15885061
2013,Guanajuato,918,5719709,16.04976757
2013,Guerrero,418,3523858,11.86199898
2013,Hidalgo,430,2806334,15.32248122
2013,Jalisco,1334,7742303,17.23001541
2013,México,1687,16364210,10.30908305
2013,Michoacán de Ocampo,583,4529914,12.87000151
2013,Morelos,230,1874188,12.27198125
2013,Nayarit,221,1178403,18.7541953
2013,Nuevo León,647,4941059,13.09435892
2013,Oaxaca,475,3959042,11.99785201
2013,Puebla,727,6067607,11.98165933
2013,Querétaro de Arteaga,319,1943889,16.41040203
2013,Quintana Roo,169,1484960,11.38077793
2013,San Luis Potosí,469,2702145,17.35658153
2013,Sinaloa,585,2932313,19.95012129
2013,Sonora,576,2851462,20.20016399
2013,Tabasco,624,2334493,26.72957255
2013,Tamaulipas,528,3461336,15.25422554
2013,Tlaxcala,185,1242734,14.88653244
2013,Veracruz Llave,589,7923198,7.433866981
2013,Yucatán,249,2064151,12.06307097
2013,Zacatecas,314,1550179,20.25572531
2013,Nacional,15856,118395053,13.39245146
