Periodo,Entidad de Residencia,Defunciones por Cancer de Prostata,Poblacion Total Masculina,Tasa de Mortalidad por Cancer de Prostata
2013,Baja California Sur,31,76043,40.76640848
2013,Campeche,34,96841,35.10909635
2013,Coahuila de Zaragoza,129,330597,39.02031779
2013,Colima,56,81948,68.33601796
2013,Chiapas,259,474913,54.53630454
2013,Chihuahua,199,414622,47.99552363
2013,Distrito Federal,466,1189842,39.16486391
2013,Durango,65,190773,34.07190745
2013,Guanajuato,316,587257,53.80949056
2013,Guerrero,159,367011,43.32295217
2013,Hidalgo,117,317944,36.79893315
2013,Jalisco,537,848642,63.27756581
2013,México,567,1778187,31.88641015
2013,Michoacán de Ocampo,286,503228,56.8330856
2013,Morelos,91,221905,41.00853969
2013,Nayarit,86,137785,62.41608303
2013,Nuevo León,237,585725,40.46267446
2013,Oaxaca,171,437562,39.08017607
2013,Puebla,263,614839,42.77542576
2013,Querétaro de Arteaga,56,195175,28.69219931
2013,Quintana Roo,22,135385,16.24995384
2013,San Luis Potosí,186,307025,60.58138588
2013,Sinaloa,177,349252,50.67973841
2013,Sonora,162,336465,48.1476528
2013,Tabasco,106,250091,42.38457202
2013,Tamaulipas,142,402335,35.29397144
2013,Tlaxcala,51,126329,40.37077789
2013,Veracruz Llave,493,975406,50.54305592
2013,Yucatán,87,240659,36.1507361
2013,Zacatecas,106,175410,60.42985007
2013,Nacional,5871,13241999,44.33620634
