Periodo,Entidad federativa,Número de casos confirmados de paludismo con prueba de gota gruesa positiva que fueron registrados,Población Total,Tasa de incidencia asociada al paludismo por 100 mil habitantes
2007,Oaxaca,379,3773572,10.04353435
2007,Puebla,0,5651042,0
2007,Querétaro,0,1746996,0
2007,Quintana Roo,14,1218194,1.149242239
2007,San Luis Potosí,0,2525095,0
2007,Sinaloa,112,2753754,4.067175209
2007,Sonora,13,2586060,0.50269522
2007,Tabasco,54,2174464,2.483370615
2007,Tamaulipas,0,3184546,0
2007,Tlaxcala,0,1130405,0
2007,Veracruz de Ignacio de la Llave,0,7505280,0
2007,Yucatán,0,1898633,0
2007,Zacatecas,0,1459907,0
2008,Nacional,2357,111299015,2.117718652
2008,Aguascalientes,0,1154011,0
2008,Baja California,0,3105709,0
2008,Baja California Sur,0,605343,0
2008,Campeche,0,809636,0
2008,Coahuila de Zaragoza,0,2703905,0
2008,Colima,0,630606,0
2008,Chiapas,1136,4762080,23.85512213
2008,Chihuahua,185,3431517,5.391201617
2008,Distrito Federal,0,8969421,0
2008,Durango,38,1628321,2.33369219
2008,Guanajuato,0,5437620,0
2008,Guerrero,0,3380933,0
2008,Hidalgo,0,2605175,0
2008,Jalisco,10,7213583,0.138627365
2008,México,0,15040385,0
2008,Michoacán de Ocampo,0,4333681,0
2008,Morelos,0,1753157,0
2008,Nayarit,71,1058677,6.706483658
2008,Nuevo León,0,4566871,0
2008,Oaxaca,804,3804078,21.13521332
2008,Puebla,0,5722490,0
2008,Querétaro,0,1780583,0
2008,Quintana Roo,15,1261970,1.188617796
2008,San Luis Potosí,0,2555735,0
2008,Sinaloa,76,2787098,2.726850653
2008,Sonora,10,2632192,0.379911496
2008,Tabasco,12,2202203,0.544908894
2008,Tamaulipas,0,3239174,0
2008,Tlaxcala,0,1149453,0
2008,Veracruz de Ignacio de la Llave,0,7571413,0
2008,Yucatán,0,1925861,0
2008,Zacatecas,0,1476134,0
2009,Nacional,2703,112852594,2.395159831
2009,Aguascalientes,0,1175942,0
2009,Baja California,0,3168319,0
2009,Baja California Sur,0,626900,0
2009,Campeche,0,824071,0
2009,Coahuila de Zaragoza,0,2743966,0
2009,Colima,0,645050,0
2009,Chiapas,1098,4836326,22.70318419
2009,Chihuahua,438,3485093,12.56781383
2009,Distrito Federal,0,8961594,0
2009,Durango,42,1650042,2.545389754
2009,Guanajuato,0,5503354,0
2009,Guerrero,0,3415204,0
2009,Hidalgo,0,2649264,0
2009,Jalisco,8,7331993,0.109110852
2009,México,0,15315644,0
2009,Michoacán de Ocampo,0,4381615,0
2009,Morelos,0,1779708,0
2009,Nayarit,76,1083772,7.012545074
2009,Nuevo León,0,4646180,0
2009,Oaxaca,906,3838339,23.60395994
2009,Puebla,0,5796436,0
2009,Querétaro,0,1815459,0
2009,Quintana Roo,4,1305885,0.306305685
2009,San Luis Potosí,0,2589037,0
2009,Sinaloa,98,2820908,3.474058707
2009,Sonora,19,2679501,0.709087252
2009,Tabasco,14,2229667,0.627896453
2009,Tamaulipas,0,3290198,0
2009,Tlaxcala,0,1168846,0
2009,Veracruz de Ignacio de la Llave,0,7646283,0
2009,Yucatán,0,1953829,0
2009,Zacatecas,0,1494169,0
2010,Nacional,1226,114255557,1.073033148
