Periodo,Entidad de Residencia,Defunciones por Enfermedades Cardiovasculares,Poblacion Total,Tasa de Mortalidad por Enfermedades Cardiovasculares
2008,Tlaxcala,1023,1149453,88.99885424
2008,Veracruz Llave,9919,7571413,131.0059298
2008,Yucatán,2580,1925861,133.9660547
2008,Zacatecas,1818,1476134,123.1595506
2008,Nacional,126103,111299015,113.3010926
2009,Aguascalientes,1065,1175942,90.56569117
2009,Baja California,3469,3168319,109.4902376
2009,Baja California Sur,633,626900,100.973042
2009,Campeche,772,824071,93.68124834
2009,Coahuila de Zaragoza,3906,2743966,142.3487026
2009,Colima,678,645050,105.1081312
2009,Chiapas,3623,4836326,74.9122371
2009,Chihuahua,4870,3485093,139.7380213
2009,Distrito Federal,14423,8961594,160.9423502
2009,Durango,2491,1650042,150.9658542
2009,Guanajuato,6000,5503354,109.024424
2009,Guerrero,3342,3415204,97.85652629
2009,Hidalgo,3170,2649264,119.6558742
2009,Jalisco,8669,7331993,118.2352465
2009,México,13592,15315644,88.74586012
2009,Michoacán de Ocampo,5430,4381615,123.9269082
2009,Morelos,1953,1779708,109.7371029
2009,Nayarit,1326,1083772,122.3504575
2009,Nuevo León,6318,4646180,135.9826782
2009,Oaxaca,4735,3838339,123.3606516
2009,Puebla,6362,5796436,109.757099
2009,Querétaro de Arteaga,1709,1815459,94.13597333
2009,Quintana Roo,680,1305885,52.07196652
2009,San Luis Potosí,2925,2589037,112.9763692
2009,Sinaloa,3440,2820908,121.9465505
2009,Sonora,3715,2679501,138.6452179
2009,Tabasco,2143,2229667,96.11300701
2009,Tamaulipas,4121,3290198,125.2508208
2009,Tlaxcala,1072,1168846,91.7143918
2009,Veracruz Llave,10365,7646283,135.5560604
2009,Yucatán,2639,1953829,135.068115
2009,Zacatecas,1938,1494169,129.7042035
2009,Nacional,131574,112852594,116.5892562
2010,Aguascalientes,1126,1195787,94.16392719
2010,Baja California,3517,3224844,109.059539
2010,Baja California Sur,625,649616,96.21068447
2010,Campeche,908,836748,108.5153475
2010,Coahuila de Zaragoza,4129,2782013,148.4177105
2010,Colima,706,658910,107.1466513
2010,Chiapas,4060,4903755,82.79369585
2010,Chihuahua,5203,3525273,147.5914064
2010,Distrito Federal,15277,8944599,170.7958065
2010,Durango,2288,1669815,137.021167
2010,Guanajuato,6776,5558502,121.9033473
2010,Guerrero,3609,3444264,104.7829086
2010,Hidalgo,3388,2690086,125.9439289
2010,Jalisco,9211,7442625,123.7600981
2010,México,14451,15571679,92.80309464
2010,Michoacán de Ocampo,5684,4420271,128.589401
2010,Morelos,2072,1803340,114.8979117
2010,Nayarit,1356,1108860,122.287755
2010,Nuevo León,6373,4723273,134.9276233
2010,Oaxaca,5176,3868109,133.8121547
2010,Puebla,6905,5863823,117.7559418
2010,Querétaro de Arteaga,1897,1848191,102.6409067
2010,Quintana Roo,771,1350945,57.0711613
2010,San Luis Potosí,3301,2616459,126.1628789
2010,Sinaloa,3721,2851334,130.5003202
2010,Sonora,4145,2727032,151.9967496
2010,Tabasco,2467,2252641,109.5158971
2010,Tamaulipas,4587,3334664,137.555088
2010,Tlaxcala,1098,1186143,92.56893983
2010,Veracruz Llave,11172,7712247,144.8605056
2010,Yucatán,2858,1980690,144.2931504
2010,Zacatecas,2038,1509019,135.0546282
2010,Nacional,140895,114255557,123.3156651
2011,Aguascalientes,1064,1215094,87.56524187
2011,Baja California,3772,3275399,115.1615422
2011,Baja California Sur,687,672682,102.1284946
2011,Campeche,827,852373,97.02325156
2011,Coahuila de Zaragoza,3888,2818077,137.9664218
2011,Colima,772,672263,114.8360091
2011,Chiapas,4005,4980633,80.41146577
2011,Chihuahua,5316,3559248,149.3573923
2011,Distrito Federal,14985,8928400,167.8352224
2011,Durango,2244,1690418,132.7482315
2011,Guanajuato,6282,5614698,111.8849135
2011,Guerrero,3710,3473454,106.8101089
2011,Hidalgo,3461,2730570,126.7500925
2011,Jalisco,9402,7543233,124.6415164
2011,México,14926,15845558,94.19674586
2011,Michoacán de Ocampo,5590,4458100,125.38974
2011,Morelos,2057,1827187,112.5774209
2011,Nayarit,1391,1132215,122.8565246
2011,Nuevo León,6406,4797263,133.5344758
2011,Oaxaca,5079,3901419,130.1834025
2011,Puebla,6858,5935014,115.5515387
2011,Querétaro de Arteaga,1794,1881105,95.36947698
2011,Quintana Roo,756,1395357,54.17968305
2011,San Luis Potosí,3238,2647570,122.3008268
2011,Sinaloa,3911,2878525,135.8681964
2011,Sonora,4115,2767364,148.6974608
2011,Tabasco,2390,2283140,104.6803963
2011,Tamaulipas,4524,3376515,133.9843004
2011,Tlaxcala,1129,1206291,93.59267374
2011,Veracruz Llave,11053,7791801,141.8542388
2011,Yucatán,2764,2009160,137.5699297
2011,Zacatecas,1960,1522741,128.7152576
2011,Nacional,140356,115682867,121.3282517
2012,Aguascalientes,1170,1233921,94.81968457
2012,Baja California,3784,3328623,113.6806421
2012,Baja California Sur,715,695409,102.817191
2012,Campeche,883,866375,101.918915
2012,Coahuila de Zaragoza,3978,2854334,139.3670117
2012,Colima,804,685394,117.3047911
2012,Chiapas,4089,5050568,80.9611909
2012,Chihuahua,5291,3598792,147.0215561
2012,Distrito Federal,15720,8911665,176.3980132
2012,Durango,2264,1709741,132.4177171
2012,Guanajuato,6737,5668181,118.8564726
2012,Guerrero,3829,3499507,109.4154119
2012,Hidalgo,3553,2768973,128.3147217
2012,Jalisco,9549,7644152,124.9190231
2012,México,15605,16106485,96.88644046
2012,Michoacán de Ocampo,5591,4494730,124.3901191
2012,Morelos,2259,1850812,122.0545361
2012,Nayarit,1359,1155448,117.6167166
2012,Nuevo León,6262,4868844,128.6136915
2012,Oaxaca,5248,3930833,133.5085973
2012,Puebla,7031,6002161,117.141143
2012,Querétaro de Arteaga,1923,1912803,100.533092
2012,Quintana Roo,839,1440115,58.25923624
2012,San Luis Potosí,3364,2675311,125.7423903
2012,Sinaloa,3596,2905750,123.7546245
2012,Sonora,4151,2809806,147.7326193
2012,Tabasco,2534,2309071,109.7411037
2012,Tamaulipas,4560,3419338,133.3591473
2012,Tlaxcala,1135,1224637,92.68052492
2012,Veracruz Llave,11702,7858604,148.9068542
2012,Yucatán,2954,2036694,145.03897
2012,Zacatecas,2016,1536674,131.1924325
2012,Nacional,144495,117053751,123.4432889
2013,Aguascalientes,1262,1252265,100.7773914
2013,Baja California,4021,3381080,118.9264969
2013,Baja California Sur,738,718196,102.7574645
2013,Campeche,1010,880299,114.7337439
2013,Coahuila de Zaragoza,4122,2890108,142.6244279
2013,Colima,850,698295,121.7250589
2013,Chiapas,4413,5119186,86.20511152
2013,Chihuahua,5698,3635966,156.7121365
2013,Distrito Federal,12946,8893742,145.5630262
2013,Durango,2342,1728429,135.498768
2013,Guanajuato,7226,5719709,126.3350985
2013,Guerrero,3980,3523858,112.9443922
2013,Hidalgo,3734,2806334,133.0561508
2013,Jalisco,10091,7742303,130.3358962
2013,México,15897,16364210,97.14492786
2013,Michoacán de Ocampo,6182,4529914,136.470582
2013,Morelos,1856,1874188,99.02955307
2013,Nayarit,1235,1178403,104.8028561
2013,Nuevo León,6861,4941059,138.8568726
2013,Oaxaca,5414,3959042,136.7502542
2013,Puebla,7459,6067607,122.9314951
2013,Querétaro de Arteaga,2118,1943889,108.9568386
2013,Quintana Roo,858,1484960,57.77933412
2013,San Luis Potosí,3678,2702145,136.1140871
2013,Sinaloa,3935,2932313,134.1944056
2013,Sonora,4313,2851462,151.2557418
2013,Tabasco,2743,2334493,117.498746
2013,Tamaulipas,4990,3461336,144.1639875
2013,Tlaxcala,1194,1242734,96.07848502
2013,Veracruz Llave,12144,7923198,153.2714442
2013,Yucatán,3224,2064151,156.1901237
2013,Zacatecas,2147,1550179,138.5001345
2013,Nacional,148681,118395053,125.5804159
