Periodo,Entidad de Residencia,Defunciones por Cancer de Mama,Poblacion Femenina Total,Tasa de Mortalidad por Cancer de Mama
2010,Morelos,86,512247,16.78877573
2010,Nayarit,41,294400,13.92663043
2010,Nuevo León,300,1321595,22.69984375
2010,Oaxaca,88,1028727,8.554261723
2010,Puebla,174,1548950,11.23341619
2010,Querétaro de Arteaga,78,490983,15.88649709
2010,Quintana Roo,24,334081,7.183886542
2010,San Luis Potosí,112,691059,16.20700982
2010,Sinaloa,137,774162,17.69655447
2010,Sonora,164,726692,22.56802056
2010,Tabasco,81,589772,13.73412098
2010,Tamaulipas,180,930343,19.34770294
2010,Tlaxcala,34,315192,10.78707581
2010,Veracruz Llave,321,2183110,14.70379413
2010,Yucatán,59,543465,10.85626489
2010,Zacatecas,62,399750,15.50969356
2010,Nacional,5034,31152394,16.15927174
2011,Aguascalientes,59,318197,18.54197243
2011,Baja California,166,869472,19.09204667
2011,Baja California Sur,39,174676,22.32705123
2011,Campeche,22,228805,9.615174494
2011,Coahuila de Zaragoza,177,770370,22.97597258
2011,Colima,41,186675,21.96330521
2011,Chiapas,139,1183729,11.74255256
2011,Chihuahua,233,973856,23.92550849
2011,Distrito Federal,683,2925719,23.34468895
2011,Durango,65,446387,14.56135595
2011,Guanajuato,240,1495739,16.04558014
2011,Guerrero,93,874210,10.63817618
2011,Hidalgo,100,755033,13.24445422
2011,Jalisco,456,2059556,22.1406944
2011,México,619,4407547,14.04409301
2011,Michoacán de Ocampo,181,1207109,14.9945034
2011,Morelos,90,523806,17.18193377
2011,Nayarit,44,303283,14.50790186
2011,Nuevo León,274,1354069,20.23530559
2011,Oaxaca,88,1047348,8.402173872
2011,Puebla,181,1584070,11.42626273
2011,Querétaro de Arteaga,71,505978,14.03223065
2011,Quintana Roo,25,350617,7.130287465
2011,San Luis Potosí,114,705823,16.15135806
2011,Sinaloa,120,790231,15.18543312
2011,Sonora,147,744164,19.7537102
2011,Tabasco,70,605045,11.5693874
2011,Tamaulipas,178,950990,18.71733667
2011,Tlaxcala,33,323566,10.1988466
2011,Veracruz Llave,331,2223957,14.88338129
2011,Yucatán,74,557054,13.28416994
2011,Zacatecas,53,407938,12.99217038
2011,Nacional,5206,31855019,16.34279358
2012,Aguascalientes,69,326549,21.13006011
2012,Baja California,180,893604,20.14315066
2012,Baja California Sur,36,182452,19.73121698
2012,Campeche,21,235326,8.923790826
2012,Coahuila de Zaragoza,187,786639,23.77202249
2012,Colima,44,192297,22.8812722
2012,Chiapas,149,1217561,12.23757988
2012,Chihuahua,206,993180,20.74145673
2012,Distrito Federal,668,2944074,22.68964707
2012,Durango,83,456244,18.19202006
2012,Guanajuato,252,1529162,16.47961432
2012,Guerrero,101,890389,11.34335667
2012,Hidalgo,107,773627,13.83095471
2012,Jalisco,468,2107579,22.20557331
2012,México,654,4527957,14.44360006
2012,Michoacán de Ocampo,207,1230736,16.81920412
2012,Morelos,105,535561,19.60560982
2012,Nayarit,50,312152,16.01783746
2012,Nuevo León,302,1386527,21.78103997
2012,Oaxaca,89,1065627,8.351890483
2012,Puebla,208,1619439,12.84395399
2012,Querétaro de Arteaga,89,521101,17.07922265
2012,Quintana Roo,35,367314,9.528632178
2012,San Luis Potosí,107,720601,14.84871656
2012,Sinaloa,166,806021,20.5949969
2012,Sonora,173,761735,22.71131036
2012,Tabasco,78,620290,12.57476342
2012,Tamaulipas,178,971701,18.31839218
2012,Tlaxcala,42,331933,12.65315591
2012,Veracruz Llave,383,2264286,16.91482436
2012,Yucatán,71,570627,12.44245365
2012,Zacatecas,75,416112,18.02399354
2012,Nacional,5583,32558403,17.14764695
2013,Aguascalientes,55,334995,16.41815549
2013,Baja California,178,918083,19.38822525
2013,Baja California Sur,34,190366,17.8603322
2013,Campeche,25,241875,10.33591731
2013,Coahuila de Zaragoza,194,803047,24.15798826
2013,Colima,42,197971,21.21522849
2013,Chiapas,148,1251132,11.8292874
2013,Chihuahua,202,1012176,19.95700353
2013,Distrito Federal,571,2961250,19.28239764
2013,Durango,69,466006,14.80667631
2013,Guanajuato,275,1561571,17.61047048
2013,Guerrero,93,906735,10.25657993
2013,Hidalgo,104,792343,13.12562867
2013,Jalisco,476,2155725,22.0807385
2013,México,597,4648569,12.8426619
2013,Michoacán de Ocampo,170,1254150,13.55499741
2013,Morelos,82,547472,14.97793494
2013,Nayarit,40,320983,12.46171916
2013,Nuevo León,318,1418995,22.41022696
2013,Oaxaca,97,1083761,8.950312846
2013,Puebla,227,1655087,13.7152911
2013,Querétaro de Arteaga,90,536332,16.78065079
2013,Quintana Roo,41,384215,10.67110862
2013,San Luis Potosí,97,735392,13.19024411
2013,Sinaloa,160,821632,19.47343823
2013,Sonora,176,779506,22.57840222
2013,Tabasco,77,635499,12.11646281
2013,Tamaulipas,207,992431,20.85787324
2013,Tlaxcala,45,340359,13.22133394
2013,Veracruz Llave,353,2304554,15.31749744
2013,Yucatán,80,584269,13.69232323
2013,Zacatecas,82,424179,19.33146148
2013,Nacional,5405,33260660,16.25042919
