Periodo,Entidad federativa,Tasa de mortalidad por VIH/SIDA (por 100 mil habitantes),Defunciones por VIH/SIDA,Población total
2008,Aguascalientes,1.733085733,20,1154011
2008,Baja California,8.983455952,279,3105709
2008,Baja California Sur,7.268606393,44,605343
2008,Campeche,7.28722537,59,809636
2008,Coahuila de Zaragoza,2.736782542,74,2703905
2008,Colima,6.660260131,42,630606
2008,Chiapas,5.480798307,261,4762080
2008,Chihuahua,6.294592159,216,3431517
2008,Distrito Federal,5.685985751,510,8969421
2008,Durango,2.33369219,38,1628321
2008,Guanajuato,1.710307083,93,5437620
2008,Guerrero,5.471862353,185,3380933
2008,Hidalgo,1.650560903,43,2605175
2008,Jalisco,3.86770347,279,7213583
2008,México,2.991944688,450,15040385
2008,Michoacán de Ocampo,1.84600574,80,4333681
2008,Morelos,4.962476264,87,1753157
2008,Nayarit,5.667450979,60,1058677
2008,Nuevo León,4.182294617,191,4566871
2008,Oaxaca,5.25751575,200,3804078
2008,Puebla,3.599831542,206,5722490
2008,Querétaro,1.853325568,33,1780583
2008,Quintana Roo,7.369430335,93,1261970
2008,San Luis Potosí,2.660682739,68,2555735
2008,Sinaloa,4.233794434,118,2787098
2008,Sonora,4.217017604,111,2632192
2008,Tabasco,10.26245083,226,2202203
2008,Tamaulipas,5.649588444,183,3239174
2008,Tlaxcala,1.913953855,22,1149453
2008,Veracruz de Ignacio de la Llave,10.28870041,779,7571413
2008,Yucatán,5.867505495,113,1925861
