Periodo,Entidad de Ocurrencia,Defunciones por Suicidio,Poblacion Total Adolescente,Tasa de Mortalidad por Suicidio
2011,Campeche,34,317497,10.7087626
2011,Coahuila de Zaragoza,78,1004980,7.761348485
2011,Colima,21,242692,8.652942825
2011,Chiapas,129,1986223,6.49473901
2011,Chihuahua,117,1254784,9.324313986
2011,Distrito Federal,216,2913070,7.414857865
2011,Durango,36,629169,5.721833085
2011,Guanajuato,194,2130174,9.107237249
2011,Guerrero,45,1334580,3.371847323
2011,Hidalgo,72,986281,7.300150768
2011,Jalisco,213,2768538,7.693591347
2011,México,341,5723548,5.957842932
2011,Michoacán de Ocampo,68,1665626,4.082549144
2011,Morelos,35,653340,5.357088193
2011,Nayarit,15,407654,3.679591026
2011,Nuevo León,81,1663720,4.868607698
2011,Oaxaca,63,1448989,4.347859093
2011,Puebla,152,2234568,6.802209644
2011,Querétaro de Arteaga,56,711589,7.869711308
2011,Quintana Roo,58,542110,10.69893564
2011,San Luis Potosí,82,977110,8.392095056
2011,Sinaloa,51,1034280,4.930966469
2011,Sonora,60,980221,6.121068616
2011,Tabasco,93,858133,10.8374809
2011,Tamaulipas,55,1180728,4.658143112
2011,Tlaxcala,29,450546,6.436634661
2011,Veracruz Llave,117,2782701,4.204548027
2011,Yucatán,78,733558,10.63310604
2011,Zacatecas,37,560408,6.602332586
2011,Nacional,2740,42086596,6.510386347
2012,Aguascalientes,52,461794,11.26043214
2012,Baja California,33,1215152,2.71570964
2012,Baja California Sur,16,253121,6.321087543
2012,Campeche,20,319488,6.260016026
2012,Coahuila de Zaragoza,60,1012493,5.925966896
2012,Colima,16,245285,6.523024237
2012,Chiapas,104,2010058,5.173980054
2012,Chihuahua,105,1261013,8.32663898
2012,Distrito Federal,222,2871869,7.730157608
2012,Durango,28,633363,4.42084555
2012,Guanajuato,175,2137380,8.187594157
2012,Guerrero,44,1344003,3.273802216
2012,Hidalgo,63,994148,6.337084619
2012,Jalisco,232,2783499,8.334833244
2012,México,335,5771560,5.804323268
2012,Michoacán de Ocampo,71,1667059,4.258997432
2012,Morelos,35,656703,5.329654349
2012,Nayarit,22,412816,5.329250804
2012,Nuevo León,89,1673455,5.318338408
2012,Oaxaca,55,1455540,3.778666337
2012,Puebla,114,2250051,5.066551825
2012,Querétaro de Arteaga,62,717342,8.643018253
2012,Quintana Roo,59,550695,10.71373446
2012,San Luis Potosí,88,983920,8.94381657
2012,Sinaloa,32,1036356,3.08774205
2012,Sonora,65,989510,6.568907843
2012,Tabasco,93,860176,10.81174085
2012,Tamaulipas,53,1186903,4.465402817
2012,Tlaxcala,24,455035,5.274319558
2012,Veracruz Llave,110,2793000,3.938417472
2012,Yucatán,70,736066,9.510016765
2012,Zacatecas,27,562222,4.80237344
2012,Nacional,2574,42301075,6.084951742
2013,Aguascalientes,44,466761,9.426665895
2013,Baja California,39,1223964,3.186368227
2013,Baja California Sur,19,259192,7.330473163
2013,Campeche,35,321369,10.89090734
2013,Coahuila de Zaragoza,70,1019856,6.863714093
2013,Colima,19,247781,7.668061716
2013,Chiapas,140,2031757,6.890587802
2013,Chihuahua,136,1266800,10.73571203
2013,Distrito Federal,194,2832281,6.849602847
2013,Durango,34,637114,5.336564571
2013,Guanajuato,194,2143656,9.049959508
2013,Guerrero,56,1352011,4.141978135
2013,Hidalgo,44,1001623,4.392870371
2013,Jalisco,216,2797029,7.722479817
2013,México,326,5817882,5.603413751
2013,Michoacán de Ocampo,66,1667434,3.958177655
2013,Morelos,23,659941,3.485160037
2013,Nayarit,21,417922,5.024861098
2013,Nuevo León,92,1684744,5.460770301
2013,Oaxaca,54,1460708,3.696837424
2013,Puebla,103,2264246,4.548975686
2013,Querétaro de Arteaga,56,722608,7.749706618
2013,Quintana Roo,61,559000,10.91234347
2013,San Luis Potosí,70,989817,7.072014322
2013,Sinaloa,43,1038268,4.141512596
2013,Sonora,80,998830,8.009370964
2013,Tabasco,66,861891,7.657580831
2013,Tamaulipas,58,1193312,4.860422086
2013,Tlaxcala,22,459361,4.789261605
2013,Veracruz Llave,108,2800760,3.856096202
2013,Yucatán,66,738085,8.942059519
2013,Zacatecas,22,563828,3.901899161
2013,Nacional,2577,42499831,6.063553523
