Periodo,Entidad federativa,Tasa de mortalidad en niños menores de 5 años,Defunciones en la población menor de 5 años de edad,Nacidos vivos
2007,México,20.93694036,6395,305441
2007,Michoacán de Ocampo,18.96663778,1751,92320
2007,Morelos,16.56559681,560,33805
2007,Nayarit,16.18263257,336,20763
2007,Nuevo León,12.22534087,1041,85151
2007,Oaxaca,25.12169989,2121,84429
2007,Puebla,24.15256177,3165,131042
2007,Querétaro,17.56046267,668,38040
2007,Quintana Roo,17.01376349,424,24921
2007,San Luis Potosí,19.38351672,1064,54892
2007,Sinaloa,13.67989056,770,56287
2007,Sonora,16.17845791,850,52539
2007,Tabasco,17.41942213,835,47935
2007,Tamaulipas,16.02471866,1058,66023
2007,Tlaxcala,21.82944035,557,25516
2007,Veracruz de Ignacio de la Llave,20.88706405,3037,145401
2007,Yucatán,15.97112213,615,38507
2007,Zacatecas,16.58871219,532,32070
2008,Nacional,18.43415071,41907,2273335
2008,Aguascalientes,14.46613949,386,26683
2008,Baja California,20.08202517,1136,56568
2008,Baja California Sur,15.46486091,169,10928
2008,Campeche,15.78093812,253,16032
2008,Coahuila de Zaragoza,13.20706331,721,54592
2008,Colima,14.55681732,191,13121
2008,Chiapas,24.33942608,2827,116149
2008,Chihuahua,20.80514931,1461,70223
2008,Distrito Federal,14.52774278,2064,142073
2008,Durango,15.76080658,544,34516
2008,Guanajuato,17.41340201,2042,117266
2008,Guerrero,23.28362767,1830,78596
2008,Hidalgo,20.61874074,1155,56017
2008,Jalisco,15.34041558,2296,149670
2008,México,20.2883338,6185,304855
2008,Michoacán de Ocampo,18.31736352,1688,92153
2008,Morelos,16.06213044,546,33993
2008,Nayarit,15.73226545,330,20976
2008,Nuevo León,11.9102153,1014,85137
2008,Oaxaca,24.07513349,2020,83904
2008,Puebla,23.17155376,3025,130548
2008,Querétaro,17.00617202,642,37751
2008,Quintana Roo,16.60626817,417,25111
2008,San Luis Potosí,18.69927616,1023,54708
2008,Sinaloa,13.27449439,743,55972
2008,Sonora,15.79418089,830,52551
2008,Tabasco,16.84144295,803,47680
2008,Tamaulipas,15.65726614,1016,64890
2008,Tlaxcala,20.98809103,534,25443
2008,Veracruz de Ignacio de la Llave,20.11991636,2906,144434
2008,Yucatán,15.503676,601,38765
2008,Zacatecas,15.89135186,509,32030
2009,Nacional,17.84371492,40435,2266064
2009,Aguascalientes,13.95977184,372,26648
2009,Baja California,19.62505266,1118,56968
2009,Baja California Sur,14.99640805,167,11136
2009,Campeche,15.30359356,247,16140
