Periodo,Entidad federativa,Casos confirmados de tuberculosis,Población total,Tasa de incidencia asociada a la tuberculosis (todas las formas) por 100 mil habitantes
1997,Sonora,406,2160460,18.79229423
1997,Tabasco,660,1882554,35.05875529
1997,Tamaulipas,965,2615528,36.89503611
1997,Tlaxcala,133,953724,13.94533429
1997,Veracruz de Ignacio de la Llave,2780,7128785,38.99682765
1997,Yucatán,236,1642042,14.37234858
1997,Zacatecas,221,1428038,15.47577866
1996,Estados Unidos Mexicanos,20722,95876664,21.61318421
1996,Aguascalientes,79,939507,8.408665396
1996,Baja California,1244,2224286,55.92805961
1996,Baja California Sur,99,413575,23.93761712
1996,Campeche,162,644818,25.12336814
1996,Coahuila de Zaragoza,464,2237025,20.74183346
1996,Colima,164,524947,31.24124912
1996,Chiapas,1600,3819739,41.88767871
1996,Chihuahua,519,2753282,18.85023038
1996,Distrito Federal,1199,8875396,13.50925638
1996,Durango,391,1462829,26.72902985
1996,Guanajuato,385,4990233,7.715070619
1996,Guerrero,1035,3170156,32.64823561
1996,Hidalgo,442,2326530,18.99825061
1996,Jalisco,1032,6270725,16.45742717
